"Search terms","Suggestion"
"Tax","VAT 5%"
"Tax ID","VAT Number"
"Tax","VAT  5%"
"Incl. Tax","Incl. VAT"
"Excl. Tax","Excl. VAT"
"Grand Total (Excl.Tax)","Grand Total (Excl.VAT)"
"Grand Total (Incl.Tax)","Grand Total (Incl.VAT)"
