parent_name,name,created_at,updated_at,categoryPath,include_in_menu,description,meta_keywords,meta_description,custom_layout_update,is_active,landing_page,is_anchor,custom_use_parent_settings,custom_apply_to_products,image,meta_title,display_mode,url_key
Hockey,Shorts,2015-12-13 07:51:50,2016-04-10 11:23:12,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Hockey/Shorts,1,,,,,0,,0,,1,,,PRODUCTS,shorts
Hockey,Skorts / Skirts,2015-12-13 07:52:27,2016-04-11 13:17:32,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Hockey/Skorts / Skirts,0,,,,,0,,0,,1,,,PRODUCTS,skorts-skirts
Hockey,Socks,2015-12-13 07:52:58,2018-03-04 09:29:38,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Hockey/Socks,1,,,,,0,,0,,1,,,PRODUCTS,socks
Fitness,Cycling,2015-12-13 08:10:08,2018-02-01 12:23:36,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Fitness/Cycling,1,,,,,1,,0,,1,,,PRODUCTS,cycling
Swimming,Boys,2016-01-14 05:32:33,2018-10-24 12:23:25,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Swimming/Boys,1,,,,,1,,0,,1,,,PRODUCTS,boys
Swimming,Girls,2016-01-14 05:33:06,2016-08-17 09:45:31,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Swimming/Girls,1,,,,,1,,0,,1,,,PRODUCTS,girls
Netball,Dresses,2016-04-07 07:56:08,2016-04-07 07:56:08,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Netball/Dresses,0,,,,,0,,0,,1,,,PRODUCTS,dresses
Wellington International,Wellington,2016-05-01 11:50:43,2019-12-30 07:30:24,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington International/Wellington,0,,,,,1,,0,,1,wellington-banner.png,Wellington,PRODUCTS,wellington
Accessories,Bags,2016-08-18 06:42:39,2018-02-06 13:19:38,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Accessories/Bags,1,,,,,1,,0,,1,,,PRODUCTS,bags
Accessories,Bottles,2016-08-18 07:36:47,2017-10-11 06:15:45,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Accessories/Bottles,1,,,,,1,,0,,1,,,PRODUCTS,bottles
Accessories,Balls,2016-08-18 12:21:13,2017-10-11 06:15:51,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Accessories/Balls,1,,,,,1,,0,,1,,,PRODUCTS,balls
Accessories,Other,2016-08-21 04:56:01,2017-10-11 06:15:57,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Accessories/Other,1,,,,,1,,0,,1,,,PRODUCTS,other
Fat Lad At The Back,Jersey,2016-11-29 11:34:01,2016-11-29 12:58:14,Root Catalog/Root Catalog Migrated/Cycling/Fat Lad At The Back/Jersey,1,,,,,1,,0,,1,,Jersey,PRODUCTS,fatladatthebackjersey
Red White,Bib Shorts,2016-11-29 11:37:38,2016-11-29 12:58:05,Root Catalog/Root Catalog Migrated/Cycling/Red White/Bib Shorts,1,,,,,1,,0,,1,,,PRODUCTS,redwhitebibshorts
Fat Lad At The Back,Caps,2016-11-29 11:40:51,2016-11-29 12:58:20,Root Catalog/Root Catalog Migrated/Cycling/Fat Lad At The Back/Caps,1,,,,,1,,0,,1,,,PRODUCTS,fatladatthebackcaps
Fat Lad At The Back,Bib shorts,2016-11-29 11:41:39,2016-11-29 12:58:26,Root Catalog/Root Catalog Migrated/Cycling/Fat Lad At The Back/Bib shorts,1,,,,,1,,0,,1,,,PRODUCTS,fatladatthebackbibshorts
Men,Best Seller,2017-01-24 13:37:24,2017-01-26 09:09:52,Root Catalog/Root Catalog Migrated/Havaianas/Men/Best Seller,1,,,,,1,,0,,1,,,PRODUCTS,best-seller
Women,Best Seller,2017-01-24 13:37:58,2017-02-09 06:02:40,Root Catalog/Root Catalog Migrated/Havaianas/Women/Best Seller,1,,,,,1,,0,,1,havaianwomen2.jpg,,PRODUCTS,best-seller
JESS,Jess_Primary,2017-09-05 12:16:47,2018-05-15 10:33:18,Root Catalog/Root Catalog Migrated/Schools & Clubs/JESS/Jess_Primary,0,,,,,1,,0,,1,Jess_banner_2.png,,PRODUCTS,jess-primary
JESS,Jess_Secondary,2017-09-05 12:17:16,2019-12-30 07:30:22,Root Catalog/Root Catalog Migrated/Schools & Clubs/JESS/Jess_Secondary,0,,,,,1,,0,,1,jessbanner.png,,PRODUCTS,jess-secondary
Wellington Silicon Oasis,WSO Girls,2017-11-10 07:00:45,2017-10-11 11:42:02,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington Silicon Oasis/WSO Girls,0,,,,,1,,0,,1,wso_girls_Banner.png,,PRODUCTS,wso-girls
Wellington Silicon Oasis,WSO Boys,2017-10-11 07:01:05,2017-10-11 11:38:59,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington Silicon Oasis/WSO Boys,0,,,,,1,,0,,1,wso_boys_banner.png,,PRODUCTS,wso-boys
