parent_name,name,created_at,updated_at,categoryPath,include_in_menu,description,meta_keywords,meta_description,custom_layout_update,is_active,landing_page,is_anchor,custom_use_parent_settings,custom_apply_to_products,image,meta_title,display_mode,url_key
Schools & Clubs,JESS,2015-11-10 07:05:06,2019-12-30 07:30:17,Root Catalog/Root Catalog Migrated/Schools & Clubs/JESS,0,,,,,0,,0,,1,Jess_Banner.png,JESS,PAGE,jess
Schools & Clubs,GCS,2015-10-11 08:41:44,2018-01-25 10:51:12,Root Catalog/Root Catalog Migrated/Schools & Clubs/GCS,0,,,,,1,,0,,1,GCS_School-banner.png,GCS,PRODUCTS,gcs
Schools & Clubs,APRSA,2015-10-19 06:26:31,2018-01-25 10:51:42,Root Catalog/Root Catalog Migrated/Schools & Clubs/APRSA,0,,,,,1,,0,,1,APRSA_club-banner.png,APRSA,PRODUCTS,aprsa
Samurai Sportswear,Fitness,2015-12-13 07:47:18,2018-04-29 12:30:19,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Fitness,1,,,,,1,,0,,1,,,PRODUCTS,fitness
BeSpoke,Brochures & Sizes,2015-12-27 11:58:45,2016-10-19 06:59:11,Root Catalog/Root Catalog Migrated/BeSpoke/Brochures & Sizes,0,,,,,1,,0,,1,, BeSpoke & Sizes,PRODUCTS,bespokeandsizes
Samurai Sportswear,Swimming,2016-01-14 05:32:03,2018-10-24 12:23:25,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Swimming,1,,,,,1,,0,,1,,,PRODUCTS,swiming
Schools & Clubs,Dubai Sea Dragon,2016-02-23 08:07:46,2018-01-25 10:52:07,Root Catalog/Root Catalog Migrated/Schools & Clubs/Dubai Sea Dragon,0,,,,,1,,0,,1,Dragon_Banner.png,,PRODUCTS,dubai-sea-dragon
Schools & Clubs,Los Atletas,2016-04-04 10:43:15,2016-11-22 06:43:44,Root Catalog/Root Catalog Migrated/Schools & Clubs/Los Atletas,0,,,,,0,,0,,1,Losatlantas-banner.png,,PRODUCTS,losatletas
Schools & Clubs,American Academy,2016-07-04 06:15:09,2018-06-14 11:50:44,Root Catalog/Root Catalog Migrated/Schools & Clubs/American Academy,0,,,,,1,,0,,1,American_Academy-banner.png,,PRODUCTS,american-academy
Schools & Clubs,Doha Rugby,2016-05-03 11:46:02,2018-01-25 10:53:37,Root Catalog/Root Catalog Migrated/Schools & Clubs/Doha Rugby,0,,,,,1,,0,,1,DohaRugby-banner.png,Doha Rugby,PRODUCTS,doha-rugby
Samurai Sportswear,Accessories,2016-08-18 06:41:02,2020-01-08 12:52:52,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Accessories,1,,,,,1,,0,,1,,,PRODUCTS,accessories
Samurai Sportswear,Foot Ball,2016-08-21 08:44:20,2018-03-04 09:29:37,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Foot Ball,0,,,,,1,,0,,1,,,PRODUCTS,foot-ball
Schools & Clubs,Jammie Dodgers,2016-06-10 09:23:42,2018-01-25 10:54:00,Root Catalog/Root Catalog Migrated/Schools & Clubs/Jammie Dodgers,0,,,,,1,,0,,1,JammieDodgerbanner.png,Jammie Dodgers,PRODUCTS,jammiedodgers
Schools & Clubs,Kings Al Barsha,2016-10-12 12:15:42,2018-09-09 12:39:09,Root Catalog/Root Catalog Migrated/Schools & Clubs/Kings Al Barsha,0,,,,,1,,0,,1,kingsalbarshabanner.png,Kings Al Barsha School,PRODUCTS,kingsalbarsha
Schools & Clubs,Kings Nad Al Sheba,2016-11-15 08:34:39,2018-09-09 12:45:42,Root Catalog/Root Catalog Migrated/Schools & Clubs/Kings Nad Al Sheba,0,,,,,1,,0,,1,Kingsnaldalshebabanner.png,Kings Nad Al Sheba,PRODUCTS,kingsnadalsheba
Schools & Clubs,Victory Heights,2016-11-22 05:43:24,2020-01-23 11:17:07,Root Catalog/Root Catalog Migrated/Schools & Clubs/Victory Heights,0,,,,,1,,0,,1,vhbanner.png,Victory Heights,PRODUCTS,victoryheights
Cycling,Red White,2016-11-29 11:29:15,2017-12-27 10:23:27,Root Catalog/Root Catalog Migrated/Cycling/Red White,1,,,,,1,,0,,1,,,PRODUCTS,redwhite
Cycling,Fat Lad At The Back,2016-11-29 11:31:03,2018-02-06 11:52:06,Root Catalog/Root Catalog Migrated/Cycling/Fat Lad At The Back,0,,,,,1,,0,,1,,Fat Lad At The Back,PRODUCTS,fat-lad-at-the-back
Schools & Clubs,EMERALD,2017-01-18 08:30:42,2017-10-11 05:52:50,Root Catalog/Root Catalog Migrated/Schools & Clubs/EMERALD,0,,,,,1,,0,,1,emeraldbanner.png,,PRODUCTS,emerald
Havaianas,Men,2017-01-24 12:26:13,2018-01-02 03:50:38,Root Catalog/Root Catalog Migrated/Havaianas/Men,1,,,,,1,,0,,1,havianamen.jpg,,PRODUCTS,men
Havaianas,Women,2017-01-24 12:26:35,2017-02-09 06:02:13,Root Catalog/Root Catalog Migrated/Havaianas/Women,1,,,,,1,,0,,1,havaiwomen5.jpg,,PRODUCTS,women
Reptonschool,Repton,2017-01-24 13:47:55,2019-10-16 10:39:18,Root Catalog/Root Catalog Migrated/Schools & Clubs/Reptonschool/Repton,0,,,,,1,,0,,1,Reptonbanner.png,,PRODUCTS,repton
Schools & Clubs,DesertTrailRunners,2017-01-29 06:46:13,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/DesertTrailRunners,0,,,,,1,,0,,1,deserttrailbanner2.png,Desert Trail Runners,PRODUCTS,deserttrailrunners
Schools & Clubs,Kings Dubai,2017-01-30 08:45:09,2019-10-07 08:38:26,Root Catalog/Root Catalog Migrated/Schools & Clubs/Kings Dubai,0,,,,,1,,0,,1,Kingsdubaibanner.png,Kings Dubai,PRODUCTS,kings-dubai
