product_name,product_sku,warehouse,qty_in_warehouse,shelf_location
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-12,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-6,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-8,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-XSG,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-M,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-MB,J20,4.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-S,J20,4.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-SB,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-XS,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-XSB,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Ankle Socks",1-STK-2-620027-GRY-L,J20,8.0000,"A 04 C 2"
"Club Pro Socks | Red/Grey",1-STK-8-6200-RED/GRY-L,J20,4.0000,"A 06 A 3"
"Club Pro Socks | Red/Grey",1-STK-8-6200-RED/GRY-M,J20,24.0000,"A 06 A 3"
"Club Pro Socks | Red/Grey",1-STK-8-6200-RED/GRY-S,J20,5.0000,"A 06 A 3"
"Backpack | Black",1-STK-4-65180308-BLK-0,J20,61.0000,"A 05 A 1/2/3"
"Backpack | Navy",1-STK-4-65180208-NVY-0,J20,0.0000,"A 08 G"
"Balmy Short Sleeve Cycling Jersey",2-STK-JYSS-M-BALM-BLK-44,J20,2.0000,"BOX - FLAB"
"Balmy Short Sleeve Cycling Jersey",2-STK-JYSS-M-BALM-BLK-46,J20,1.0000,"BOX - FLAB"
"Blue Stripe Cycling Bib Shorts",2-STK-BSHT-M-STRI-BLU-38,J20,4.0000,"BOX - FLAB"
"Blue Stripe Cycling Bib Shorts",2-STK-BSHT-M-STRI-BLU-40,J20,1.0000,"BOX - FLAB"
"Bobby Dazzler Reflective Short Sleeve Jersey",2-STK-JYSS-M-BOBY-WHT-42,J20,1.0000,"BOX - FLAB"
"Bobby Dazzler Reflective Short Sleeve Jersey",2-STK-JYSS-M-BOBY-WHT-44,J20,2.0000,"BOX - FLAB"
"Bobby Dazzler Reflective Short Sleeve Jersey",2-STK-JYSS-M-BOBY-WHT-46,J20,2.0000,"BOX - FLAB"
"Bobby Dazzler Reflective Short Sleeve Jersey",2-STK-JYSS-M-BOBY-WHT-47,J20,3.0000,"BOX - FLAB"
"Bobby Dazzler Reflective Short Sleeve Jersey",2-STK-JYSS-M-BOBY-WHT-49,J20,2.0000,"BOX - FLAB"
"Bobby Dazzler Reflective Short Sleeve Jersey",2-STK-JYSS-M-BOBY-WHT-52,J20,3.0000,"BOX - FLAB"
"Bomber Jacket",4-STK-BOMBER-N60-BLK-M,J20,1.0000,"BOX - CONTINENTAL"
"Bomber Jacket",4-STK-BOMBER-N60-GRY-XL,J20,1.0000,"BOX - CONTINENTAL"
"Boot Bag  | Black",1-STK-4-65180108-BLK-0,J20,0.0000,"A 07 B 1 /A 11 A 1/ EAZY"
"Breathable Ball Sack",1-STK-4-651280-BLK-0,J20,1.0000,"A 08 G 1"
"Christmas O'Scrum Rugby Ball Size 5",1-STK-OSCRUM-BLK-5,J20,26.0000,"A 03 F 1/A 03 F 2/A 03 C3/A 03 B3"
"CIS Ladies Kuro Short",1-CIS-HOC-SHO004-BLK-10,J20,3.0000,"C 01 G"
"CIS Ladies Kuro Short",1-CIS-HOC-SHO004-BLK-12,J20,2.0000,"C 01 G"
"CIS Ladies Kuro Short",1-CIS-HOC-SHO004-BLK-16,J20,2.0000,"C 01 G"
"CIS Staff Ladies Polo",1-CIS-POL-CLUB-BES-CRM-12,J20,1.0000,"C 01 G"
"CIS Staff Ladies Polo",1-CIS-POL-CLUB-BES-MRN-10,J20,4.0000,"C 01 G"
"CIS Staff Ladies Polo",1-CIS-POL-CLUB-BES-MRN-14,J20,1.0000,"C 01 G"
"CIS Staff Mens Polo",1-CIS-POL-CLUB-BES-MRN-L,J20,5.0000,"C 01 G"
"Classic Hoodie | Black",1-STK-0-1200024-BLK/WHT-JNR,J20,1.0000,"BOX - JACKET"
"Classic Hoodie | Black",1-STK-0-1200024-BLK/WHT-SB,J20,1.0000,"BOX - JACKET"
"Classic Hoodie | Black",1-STK-0-1200024-BLK/WHT-XSB,J20,1.0000,"BOX - JACKET"
"New Style Classic Hoodie | Navy",1-STK-HOD-CLUB-BES-NVY-L,J20,3.0000,"A 05 A 3"
"New Style Classic Hoodie | Navy",1-STK-HOD-CLUB-BES-NVY-M,J20,2.0000,"A 05 A 3"
"New Style Classic Hoodie | Navy",1-STK-HOD-CLUB-BES-NVY-LB,J20,0.0000,"A 05 A 3"
"New Style Classic Hoodie | Navy",1-STK-HOD-CLUB-BES-NVY-S,J20,2.0000,"A 05 A 3"
"New Style Classic Hoodie | Navy",1-STK-HOD-CLUB-BES-NVY-XL,J20,1.0000,"A 05 A 3"
"New Style Classic Hoodie | Navy",1-STK-HOD-CLUB-BES-NVY-XS,J20,1.0000,"A 05 A 3"
"Classic Hoodie | Navy",1-STK-0-1200025-NVY/WHT-LB,J20,0.0000,"BOX - JACKET"
"Classic Hoodie | Navy",1-STK-0-1200025-NVY/WHT-M,J20,1.0000,"BOX - JACKET"
"Classic Hoodie | Navy",1-STK-0-1200025-NVY/WHT-MB,J20,0.0000,"BOX - JACKET"
"Classic Polo Cotton | Black/Red",1-STK-0-12000018-BLK/RED-L,J20,1.0000,"A 04 E 2"
"Classic Polo Cotton | Navy White",1-STK-0-12000021-NVY/WHT-M,J20,1.0000,"A 04 E 2"
"Classic Polo Diamond Poly | Black/Grey",1-STK-0-12000026-BLK/GRY-S,J20,10.0000,"A 04 E 2"
"Classic Polo Diamond Poly | Black/Grey",1-STK-0-12000026-BLK/GRY-XL,J20,1.0000,"A 04 E 2"
"Classic Polo Diamond Poly | Navy/Grey",1-STK-0-12000027-BLK/GRY-2XL,J20,1.0000,"A 08 B 2"
"Classic Polo Diamond Poly | Navy/Grey",1-STK-0-12000027-BLK/GRY-L,J20,3.0000,"A 08 B 2"
"Classic Polo Diamond Poly | Navy/Grey",1-STK-0-12000027-BLK/GRY-S,J20,9.0000,"A 08 B 3"
"Classic Vest | Black/Grey",1-STK-0-120030-BLK/GRY-2XL,J20,1.0000,"A 04 E 1"
"Classic Vest | Black/Grey",1-STK-0-120030-BLK/GRY-L,J20,5.0000,"A 04 E 1"
"Classic Vest | Black/Grey",1-STK-0-120030-BLK/GRY-XL,J20,2.0000,"A 04 E 1"
"Classic Vest | Black/Grey",1-STK-0-120030-BLK/GRY-M,J20,0.0000,"A 04 E 1"
"Classic Vest | Black/Grey",1-STK-0-120030-BLK/GRY-S,J20,2.0000,"A 04 E 1"
"Classic Vest | Navy",1-STK-0-120055-NVY/GRY-S,J20,3.0000,"A 06 E 3"
"Classic Vest | White/Grey",1-STK-0-120028-WHT/GRY-2XL,J20,1.0000,"A 06 E 3"
"Classic Vest | White/Grey",1-STK-0-120028-WHT/GRY-L,J20,2.0000,"A 06 E 3"
"Classic Vest | White/Grey",1-STK-0-120028-WHT/GRY-XL,J20,3.0000,"A 06 E 3"
"Clipper Shorts |Black",1-STK-8-614043-BLK-2XL,J20,5.0000,"A 07 C 3"
"Clipper Shorts |Black",1-STK-8-614043-BLK-L,J20,1.0000,"RAIL 2"
"Clipper Shorts |Black",1-STK-8-614043-BLK-S,J20,1.0000,"A 07 C 3"
"Clipper Shorts | Navy",1-STK-8-614044-NVY-2XL,J20,0.0000,"A 06 D 3"
"Clipper Shorts | Navy",1-STK-8-614044-NVY-L,J20,0.0000,"A 06 D 3"
"Clipper Shorts | Navy",1-STK-8-614044-NVY-LB,J20,2.0000,"A 06 D 3"
"Clipper Shorts | Navy",1-STK-8-614044-NVY-M,J20,2.0000,"A 06 D 3"
"Clipper Shorts | Navy",1-STK-8-614044-NVY-S,J20,6.0000,"A 06 D 3"
"Clipper Shorts | Navy",1-STK-8-614044-NVY-XS,J20,3.0000,"A 06 D 3"
"Clipper Shorts | Navy/Sky",1-STK-SHO-CLI-BES-NVY/WHT-L,J20,1.0000,"A 07 D 2"
"Clipper Shorts | Navy/Sky",1-STK-SHO-CLI-BES-NVY/SKY-S,J20,1.0000,"A 07 D 2"
"Clipper Shorts | Navy/Sky",1-STK-SHO-CLI-BES-NVY/WHT-XL,J20,1.0000,"A 07 D 2"
"Clipper Shorts | Navy/Sky",1-STK-SHO-CLI-BES-NVY/WHT-XS,J20,2.0000,"A 07 D 2"
